road_width,latitude,longitude,quality,num_bedrooms,num_bathrooms,direction,age,land_area,usage_area,hospital_3km,convenience_store_3km,discount_store_3km,department_store_3km,education_3km,bank_3km,hospital_3km_shortest,convenience_store_3km_shortest,discount_store_3km_shortest,department_store_3km_shortest,education_3km_shortest,bank_3km_shortest,target,index_right
4.0,13.97065,100.34386,ดีมาก,4,2,,14,22,144,11,12,2,0,1,0,0.525,0.182,0.901,0.0,1.294,0.0,1500000,0
4.0,13.830055,100.472693,พอใช้,5,2,,27,24,94,65,83,5,0,44,26,0.206,0.239,1.104,0.0,0.214,1.258,1300000,0
4.0,13.934249,100.402423,ค่อนข้างแย่,4,4,,27,12,77,45,32,6,0,10,9,0.51,0.494,0.551,0.0,0.59,0.599,770000,0
4.0,13.90707,100.40938,ดี,5,4,,27,16,107,70,59,16,0,24,24,0.114,0.113,0.723,0.0,0.798,1.502,1500000,0
6.0,13.91618,100.39387,พอใช้,3,3,ทิศใต้,26,16,110,51,39,11,0,14,7,0.359,0.394,0.394,0.0,0.861,0.397,1500000,0
4.0,13.96474,100.44311,ค่อนข้างแย่,1,3,,12,28,98,7,11,2,0,6,0,1.017,1.071,1.69,0.0,1.086,0.0,750000,0
6.0,13.926366,100.355545,พอใช้,2,1,ทิศตะวันออกเฉียงเหนือ,25,16,91,12,17,2,0,5,0,0.849,0.17,1.686,0.0,0.462,0.0,1110000,0
6.0,13.92222,100.51175,แย่,5,2,ทิศใต้,29,20,94,98,89,6,2,53,40,0.687,0.559,1.192,2.727,0.357,1.339,1540000,0
4.0,13.985811,100.322058,แย่,4,2,,10,16,107,6,10,3,0,4,1,0.585,0.554,0.337,0.0,1.512,0.949,1450000,0
4.0,13.95046,100.54541,ค่อนข้างแย่,2,1,,16,16,100,25,46,4,1,26,14,0.207,0.193,1.726,1.471,0.196,0.181,1360000,0
6.0,13.927862,100.349942,พอใช้,4,3,ทิศตะวันตกเฉียงเหนือ,24,18,60,14,17,2,0,8,0,0.644,0.199,1.916,0.0,0.828,0.0,900000,0
6.0,13.90565,100.39738,ดี,4,4,ทิศตะวันตกเฉียงใต้,28,17,108,52,40,14,0,20,19,0.278,0.253,0.356,0.0,0.406,0.308,1500000,0
6.0,13.85534,100.39324,ดี,5,4,ทิศตะวันออกเฉียงใต้,9,50,111,27,40,5,0,16,12,0.685,0.274,1.66,0.0,0.747,1.908,3460000,0
4.0,13.943864,100.393095,ค่อนข้างแย่,2,2,,13,16,88,21,29,5,0,4,6,0.637,0.652,1.935,0.0,1.205,1.041,850000,0
4.0,13.903234,100.368037,ดีมาก,4,1,,3,16,91,13,16,3,0,3,1,1.346,0.126,1.675,0.0,1.474,3.0,1180000,0
6.0,13.93103,100.34829,ดีมาก,5,3,ทิศตะวันตกเฉียงเหนือ,23,18,132,12,15,2,0,7,0,0.473,0.464,1.838,0.0,0.969,0.0,1700000,0
6.0,13.94280737,100.3643922,ดีมาก,5,2,ทิศตะวันออกเฉียงเหนือ,24,16,100,15,17,2,0,5,1,0.407,0.358,0.369,0.0,0.378,1.207,1480000,0
6.0,13.903725,100.345852,ดีมาก,5,2,ทิศตะวันตก,28,21,84,6,15,1,0,4,0,0.669,0.729,1.04,0.0,0.628,0.0,1190000,0
4.0,13.90336,100.44538,ดีมาก,5,4,,5,22,94,62,59,7,0,22,21,0.433,0.43,1.237,0.0,0.584,0.425,2384000,0
6.0,13.92779,100.35057,ดีมาก,3,2,ทิศตะวันตกเฉียงเหนือ,22,18,68,12,17,2,0,8,0,0.632,0.255,1.873,0.0,0.767,0.0,1300000,0
4.0,13.916159026287,100.3677238366,ดี,1,3,,22,16,104,18,19,2,0,7,0,0.947,0.337,1.701,0.0,1.553,0.0,1400000,0
4.0,13.90923,100.42457,ดีมาก,4,1,,13,26,112,59,63,8,0,28,20,0.188,0.117,0.648,0.0,0.185,0.103,1550000,0
4.0,13.939023,100.401681,ดี,2,3,,0,24,90,28,31,6,0,6,7,0.507,0.274,1.076,0.0,0.78,0.668,1500000,0
4.0,13.92384,100.55684,ดีมาก,1,1,,4,18,99,65,71,6,1,43,25,0.067,0.762,1.187,1.785,0.837,1.258,1600000,0
4.0,13.83554,100.35784,ดี,3,4,,12,18,36,4,8,1,0,8,2,0.634,0.691,0.908,0.0,0.636,2.829,400000,0
4.0,13.80977,100.50001,ดีมาก,2,4,,23,15,112,136,135,9,0,139,60,0.205,0.243,1.354,0.0,0.606,0.576,1570000,0
4.0,13.81844,100.49627,พอใช้,3,3,,5,18,119,104,140,6,0,109,59,0.8,0.744,1.68,0.0,0.66,1.148,1520000,0
6.0,13.9163107,100.3932667,ดีมาก,2,1,ทิศตะวันตก,26,16,110,44,38,11,0,14,7,0.412,0.373,0.445,0.0,0.887,0.45,1500000,0
6.0,13.92867,100.35546,พอใช้,1,3,ทิศตะวันออกเฉียงเหนือ,22,16,97,12,17,2,0,5,0,0.639,0.219,1.469,0.0,0.255,0.0,1470000,0
4.0,13.8395,100.48337,แย่,1,3,,5,32,164,76,114,4,0,55,31,0.355,0.298,1.398,0.0,0.589,0.578,3468000,0
8.0,13.83471,100.35715,แย่,2,2,ทิศตะวันออก,16,27,95,4,8,1,0,8,2,0.702,0.802,1.025,0.0,0.705,2.838,1309000,0
4.0,13.890475,100.503195,ดีมาก,4,1,,19,27,100,131,105,8,1,52,46,0.84,0.14,1.205,2.86,0.725,0.846,1550000,0
4.0,13.906673,100.388518,แย่,3,4,,19,16,104,31,32,8,0,9,3,0.327,0.864,0.73,0.0,0.725,0.754,1450000,0
6.0,13.933757,100.360412,แย่,1,2,ทิศตะวันออกเฉียงเหนือ,28,18,110,16,23,3,0,6,1,0.143,0.392,0.725,0.0,0.523,2.296,1250000,0
4.0,13.911839,100.433616,ดี,1,3,,16,21,140,45,52,5,0,28,21,0.462,0.013,0.391,0.0,0.964,0.902,1560000,0
4.0,13.939667,100.404234,พอใช้,2,1,,10,20,113,30,30,6,0,8,7,0.778,0.142,1.106,0.0,1.027,0.933,1600000,0
4.0,13.81354,100.49605,ค่อนข้างแย่,3,2,,23,66,288,97,119,6,0,108,46,0.27,0.317,1.229,0.0,0.683,1.015,3500000,0
6.0,13.91169,100.43819,ดีมาก,1,3,,21,20,96,43,45,5,0,28,21,0.954,0.437,0.885,0.0,1.378,1.372,1200000,0
8.0,13.89296,100.41398,ดี,2,4,ทิศตะวันออกเฉียงใต้,24,17,96,105,73,14,2,34,42,0.663,0.61,1.046,1.779,0.554,0.926,1440000,0
6.0,13.924383,100.353091,ค่อนข้างแย่,2,3,ทิศตะวันออกเฉียงเหนือ,28,18,72,12,18,2,0,5,0,0.881,0.327,1.694,0.0,0.784,0.0,1350000,0
4.0,13.84193,100.529493,ดี,3,2,,3,19,111,236,167,9,0,146,89,0.417,0.24,1.683,0.0,0.536,0.626,3600000,0
4.0,13.932429,100.376973,ดีมาก,4,4,,10,24,117,28,19,4,0,7,4,0.695,0.206,1.757,0.0,0.835,2.17,1500000,0
4.0,13.850583,100.404272,ดี,1,3,,12,23,124,21,42,6,0,20,20,0.878,0.514,0.911,0.0,0.56,1.108,1550000,0
4.0,13.91495,100.51359,พอใช้,4,1,,24,21,91,140,103,6,2,65,53,0.503,0.141,0.998,2.023,0.516,0.78,1600000,0
6.0,13.90718,100.34437,ดีมาก,2,1,ทิศเหนือ,25,17,103,6,16,1,0,5,0,0.962,0.315,1.036,0.0,0.858,0.0,1570000,0
6.0,13.9575365,100.396192,พอใช้,5,4,ทิศตะวันตกเฉียงใต้,12,57,176,14,24,2,0,3,6,0.761,0.77,1.497,0.0,2.232,0.908,3550000,0
6.0,13.945532,100.394703,ค่อนข้างแย่,1,2,ทิศตะวันตกเฉียงใต้,24,16,112,19,28,3,0,4,5,0.824,0.867,1.697,0.0,1.337,1.167,1500000,0
12.0,13.94697,100.35111,ค่อนข้างแย่,1,1,ทิศตะวันออกเฉียงใต้,23,16,106,14,18,2,0,7,1,0.143,0.127,1.468,0.0,1.589,2.075,1311000,0
12.0,13.94605,100.3505,ดี,3,2,ทิศตะวันออกเฉียงใต้,25,16,104,14,18,2,0,7,1,0.259,0.229,1.475,0.0,1.597,2.169,1300000,0
4.0,13.91061,100.40647,ดี,2,4,,17,17,102,68,57,12,0,23,20,0.274,0.404,0.595,0.0,0.931,1.228,1200000,0
6.0,13.92496,100.37036,ดี,2,3,ทิศใต้,20,16,110,19,22,3,0,6,1,0.887,0.918,1.856,0.0,1.472,3.0,1567000,0
6.0,13.90569,100.40045,พอใช้,3,3,ทิศตะวันตกเฉียงเหนือ,25,16,108,63,47,15,0,24,22,0.265,0.49,0.254,0.0,0.643,0.581,1350000,0
4.0,13.82981,100.48423,พอใช้,1,1,,10,20,165,74,108,5,0,58,29,0.505,0.226,0.792,0.0,0.946,1.323,3500000,0
